Issue Type,Key,Summary,Description,Parent,Acceptance Criteria,Priority
Epic,EPIC-01,Khảo sát và phân tích yêu cầu,Thu thập nhu cầu bệnh nhân và admin,,Có mô tả bài toán stakeholder yêu cầu chức năng,P1
Epic,EPIC-02,Thiết kế cơ sở dữ liệu,Thiết kế dữ liệu thuốc bệnh nền cảnh báo,,Có ERD bảng và quan hệ rõ ràng,P1
Epic,EPIC-03,Xây dựng backend API,Phát triển ASP.NET Core Web API,,API chạy được qua Swagger,P1
Epic,EPIC-04,Xây dựng frontend bệnh nhân,Giao diện tra cứu và xem cảnh báo,,Người dùng tra cứu được cảnh báo,P1
Epic,EPIC-05,Quản trị hệ thống,Admin đăng nhập và quản lý dữ liệu,,Admin CRUD được dữ liệu,P1
Epic,EPIC-06,AI hỗ trợ sàng lọc rủi ro,AI nội bộ phân tích nhiều thuốc bệnh nền,,AI trả tổng hợp rủi ro và gợi ý,P2
Epic,EPIC-07,Kiểm thử và sửa lỗi,Test API giao diện nghiệp vụ,,Có test case và biên bản kết quả,P1
Epic,EPIC-08,Bảo mật và phân quyền,Bảo vệ API quản trị bằng JWT,,API admin yêu cầu token hợp lệ,P1
Epic,EPIC-09,Tài liệu và hướng dẫn chạy,Hoàn thiện README báo cáo hướng dẫn,,Người khác chạy được dự án theo hướng dẫn,P2
Epic,EPIC-10,Triển khai demo,Chuẩn bị dữ liệu và kịch bản demo,,Demo đầy đủ luồng bệnh nhân và admin,P2
Story,STORY-01,Là bệnh nhân tôi muốn nhập tên thuốc để tra cứu,Hệ thống cho phép nhập tên thuốc,EPIC-04,Nhập Ibuprofen và chọn bệnh nền để xem kết quả,P1
Story,STORY-02,Là bệnh nhân tôi muốn chọn bệnh nền,Hệ thống tải danh sách bệnh nền từ database,EPIC-04,Select bệnh nền có dữ liệu PostgreSQL,P1
Story,STORY-03,Là bệnh nhân tôi muốn xem mức độ cảnh báo,Kết quả có Low Medium High Critical,EPIC-04,Cảnh báo hiển thị badge mức độ,P1
Story,STORY-04,Là bệnh nhân tôi muốn xem khuyến nghị,Kết quả có nội dung khuyến nghị,EPIC-04,Khuyến nghị hiển thị dưới cảnh báo,P1
Story,STORY-05,Là bệnh nhân tôi muốn dùng AI nhập nhiều thuốc,AI nhận chuỗi nhiều thuốc,EPIC-06,Nhập nhiều thuốc cách nhau dấu phẩy,P2
Story,STORY-06,Là bệnh nhân tôi muốn AI phân tích nhiều bệnh nền,AI nhận chuỗi nhiều bệnh nền,EPIC-06,Nhập nhiều bệnh nền và AI so khớp được,P2
Story,STORY-07,Là admin tôi muốn đăng nhập,Hệ thống xác thực admin bằng JWT,EPIC-08,Đăng nhập admin/123456 nhận token,P1
Story,STORY-08,Là admin tôi muốn thêm thuốc,Admin nhập và lưu thuốc mới,EPIC-05,Thuốc xuất hiện ở danh sách và tra cứu,P1
